ID|Work_Item_Type|Title|Assigned_To|State|Step_Action|Step_Expected_Result
|Test Case|TC-01-HU-136903 - Módulo CI debe cargar en ≤14.5s desde clic hasta form interactivo (Happy Path)||Design|Configurar entorno: Aplicación CI desplegada con optimización aplicada en entorno QA. Usuario autenticado con perfil estándar. Cronómetro/herramienta de medición lista. Clasificación: Happy Path. Criterio: tiempo de carga ≤14.5s.|
|||||||Hacer clic en el acceso / menú que abre el módulo FRMcargar de CI. Iniciar la medición de tiempo en el momento exacto del clic.|El sistema comienza a procesar la apertura del formulario.
|||||||Observar el formulario hasta que esté completamente cargado: datos visibles en pantalla y controles (botones, campos, listas) habilitados. Detener el cronómetro.|El formulario FRMcargar de CI se encuentra completamente interactivo con datos visibles. El tiempo transcurrido es ≤14.5 segundos.
|||||||Verificar que no se presentan mensajes de error ni excepciones durante o después de la carga.|No se muestran errores ni excepciones.
|Test Case|TC-02-HU-136903 - Módulo CI Express debe cargar en ≤14.5s desde clic hasta form interactivo (Happy Path)||Design|Configurar entorno: Aplicación CI Express desplegada con optimización aplicada en entorno QA. Usuario autenticado. Cronómetro listo. Clasificación: Happy Path. Criterio: tiempo de carga ≤14.5s.|
|||||||Hacer clic en el acceso / menú que abre el módulo FRMcargar de CI Express. Iniciar la medición de tiempo en el momento exacto del clic.|El sistema comienza a procesar la apertura del formulario.
|||||||Observar el formulario hasta que esté completamente interactivo con datos visibles y controles habilitados. Detener el cronómetro.|El formulario FRMcargar de CI Express se encuentra completamente interactivo. El tiempo transcurrido es ≤14.5 segundos.
|||||||Verificar que no se presentan mensajes de error ni excepciones.|No se muestran errores ni excepciones.
|Test Case|TC-03-HU-136903 - Módulo CI debe cargar en <10s (meta deseable — borde)||Design|Configurar entorno: Igual que TC-01. Clasificación: Borde. Criterio: meta deseable <10s (no bloqueante).|
|||||||Hacer clic en el acceso del módulo FRMcargar de CI. Iniciar la medición de tiempo.|El sistema comienza a procesar.
|||||||Esperar a que el formulario esté completamente interactivo. Detener el cronómetro.|El tiempo transcurrido es <10 segundos. (Nota: si el tiempo está entre 10s y 14.5s, el caso pasa con resultado "Aceptable" pero no "Óptimo")
|Test Case|TC-04-HU-136903 - Módulo CI Express debe cargar en <10s (meta deseable — borde)||Design|Configurar entorno: Igual que TC-02. Clasificación: Borde. Criterio: meta deseable <10s (no bloqueante).|
|||||||Hacer clic en el acceso del módulo FRMcargar de CI Express. Iniciar la medición de tiempo.|El sistema comienza a procesar.
|||||||Esperar a que el formulario esté completamente interactivo. Detener el cronómetro.|El tiempo transcurrido es <10 segundos. (Nota: si el tiempo está entre 10s y 14.5s, pasa con resultado "Aceptable" pero no "Óptimo")
|Test Case|TC-05-HU-136903 - Funcionalidad del módulo CI debe mantenerse intacta post-optimización||Design|Configurar entorno: Módulo CI con optimización aplicada. Datos de prueba cargados en BD (contratos, registros de renting). Clasificación: Happy Path. Criterio: funcionalidad intacta.|
|||||||Abrir el módulo FRMcargar de CI y esperar a que cargue completamente.|El formulario se abre sin errores con datos visibles.
|||||||Verificar que todos los campos, listados y datos que se mostraban antes de la optimización siguen presentes y con valores correctos.|Todos los campos contienen los datos esperados. No hay campos vacíos ni con valores incorrectos donde antes los había.
|||||||Ejecutar las operaciones habituales del módulo (consultar, seleccionar, navegar).|Las operaciones responden correctamente sin errores funcionales.
|||||||Verificar que no se generaron dependencias nuevas (el módulo de Órdenes y otros módulos funcionan normalmente).|Los demás módulos no presentan errores ni comportamientos inesperados.
|Test Case|TC-06-HU-136903 - Funcionalidad del módulo CI Express debe mantenerse intacta post-optimización||Design|Configurar entorno: Módulo CI Express con optimización aplicada. Datos de prueba cargados. Clasificación: Happy Path. Criterio: funcionalidad intacta.|
|||||||Abrir el módulo FRMcargar de CI Express y esperar a que cargue completamente.|El formulario se abre sin errores con datos visibles.
|||||||Verificar que todos los campos, listados y datos esperados están presentes y correctos.|Todos los campos contienen los datos esperados. No hay regresiones funcionales.
|||||||Ejecutar las operaciones habituales del módulo.|Las operaciones responden correctamente sin errores.
